Year,Subject,Topic,Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer
2018,English,Communication,1,"Paul : Hello, Paul speaking. I'm so busy now, TTYL. Sharon : Hi, Paul. This is Sharon. Can I talk to Betty? Paul :---- I'll get her. Sharon : Thanks, Paul.","She isn't available now.","Don't hang up the phone.","Could you please repeat that?","Can I take your name and number?",B
2018,English,Communication,2,"Isla : Would you like to come to the cinema with me? Ava :----? Isla : We can meet at five in front of the shopping mall. Ava : OK.","Maybe later. How about having dinner instead","Do you have a movie in your mind","Yes, I'd love to. When and where","Do we have another choice",C
2018,English,Communication,3,"Many teachers are worried about the negative effects of text language and abbreviations, however - - - - .","people mostly prefer face-to-face communication","most of the teachers still continue using computers","text messages aren't popular among teenagers because they are not fast and fun","most of the teenagers continue to write text messages using short combinations",D
2018,English,Communication,4,"Jane : What does TTYL mean? Mary :---- Jane : Okay, dear. HAND","Talk to you later","Okay, dear. HAND","Thanx 4 invitation.","Why do you ask?",A
2018,English,Communication,5,"I. No, that's okay. I'll call back later. II. Hello, can I talk to Mr. Williams, please? III. OK. Bye for now. IV. I'm afraid, he's out. Would you like to leave a message? V. Hello, Mr. Williams office. Karışık olarak verilen cümlelerin anlamlı bir diyalog oluşturacak şekilde sıralandığı seçeneği işaretleyiniz.","V-I-III-IV-II","V-II-IV-I-III","V-III-I-II-IV","V-IV-II-III",B
2018,English,Communication,6,"(I) An SMS or short message service is a type of communication used in mobile phones. (II) They are usually called ""text messages"". (III) With SMS, someone can send a text message to another person. (IV) People communicate in many different ways. Verilen metinde anlam bütünlüğünü bozan cümleyi işaretleyiniz.","I","II","III","IV",D
2018,English,Communication,7,"Which one is true according to the chart?","All teens enjoy exchanging emails daily.","No teenagers write letters to their friends","Half of teens prefer text messages to communicate","Most of the teens make or receive voice calls every day.",C
2018,English,Communication,8,"Your landline phone is ringing. You answered it. Someone wants to talk to your father but he's not at home. What do you say?","I have another call coming through. I have to hang up the phone.","Thanks, could you tell him to call Sam when he gets in?","I'm sorry he's not here now. Can you call again later?","Hang on a minute, please. I'll get my father.",C
2018,English,Communication,9,"""52% of teens use social networks to exchange messages daily."" Verilen cümleye anlamca en yakın olan seçeneği işaretleyiniz.","More than half of the teens use social networks to exchange messages daily.","4 in 10 teens exchange messages daily by using social networks.","Nearly all of the teens exchange messages daily through social networks.","6 in 10 teens say they never use social networking sites.",A
2018,English,Communication,10,"A smartphone - - - -.","is bigger than a computer","is small enough to fit in hand","isn't as small as a computer","isn't suitable for surfing on the Net",B
2018,English,Communication,11,"The text is about the - - - - of smartphones.","negative effects","high prices","functions","history",C
2018,English,Communication,12,"Which one is not mentioned in the text?","You can send emails by using smartphones.","Smartphones function like computers today.","You can make or receive calls with a smartphone.","Smartphones are more popular than computers.",D
2018,English,"The Internet",1,"When there is a virus in your computer, it can destroy all your programs or delete information.","virus","file","conversation","mouse",A
2018,English,"The Internet",2,"If you want to scan documents and photos into your computer, you need a scanner .","modem","scanner","printer","keyboard",B
2018,English,"The Internet",3,"When William arrives at his office in the morning, he first starts up his computer.","downloads","saves","burns","starts up",D
2018,English,"The Internet",4,"I can surf the Net when I want because I have the Internet on my mobile.","print","upload","surf","chat",C
2018,English,"The Internet",5,"I uploaded new photos and updated my profile last night.","updated","destroyed","protected","deleted",A
2018,English,"The Internet",6,"You must visit safe websites to surf the Net safely","visit safe websites","use your real name","open strange e-mails","give out personal information",A
2018,English,"The Internet",7,"Jeremy is a social networking site addict. He logs on to it every day to chat with his online friends .","deactivated his accounts on those sites","is usually offline at the school time","was careful with the person he was talking to","logs on to it every day to chat with his online friends",D
2018,English,"The Internet",8,"If you don't want to be an Internet addict you must be careful about the time you spend online .","you can use the Internet for fun and for your homework","you can create a blog to share your hobbies and interests","you must be careful about the time you spend online","you must have enough time to design your own website",C
2018,English,"The Internet",9,"Sam: Why do you use the Internet ? Alicia: To search for information and to play online games.","How often do you use the Internet","Why do you use the Internet","How many hours do you use the Internet","Where do you use the Internet most",B
2018,English,"The Internet",10,"Ann: How long do you use the Internet every day ? Tim: I spend about two hours a day on the Net.","What do you like doing online most","Where do you use the Internet most","How long do you use the Internet every day","What time do you use the Internet",C
2018,English,"The Internet",11,"Ethan: Why don't we play online games tonight? Mell: I'm sorry, but I can't . I have a problem with the Internet.","I'm sorry, but I can't","Great idea","Yes, sure","I'd love to, thanks",A
2018,English,"The Internet",12,"Gwen: I'm addicted to the Internet. Halle: What do you mean ? Gwen: Well, I have to surf the Internet every day for hours. I feel worried if I'm offline for more than a few hours.","What time are you online","What do you mean","How often do you join a chat room","When do you shop online",B
2018,English,Communication,1,"Teens mostly prefer more than voice calls to communicate with each other because they are cheap and fast.","writing invitations","sending text messages","using their dictionaries","having face-to-face communication",B
2018,English,Communication,2,"Mike : Hello, Daryl. We're going to the cinema tonight. Would you like to join us? Daryl : Hello, Mike. It would be great but my mom doesn't feel well and I have to stay with her today. Mike : I'm sorry to hear that. I hope - - - -. See you later, then. Daryl : Thanks for calling. See you.","I can stay with you","she feels better soon","she can come with us","I can go to the cinema",B
2018,English,Communication,3,"Frank : Hello, Frank speaking. Brad : Hello, Frank. This is Brad. Do you want to drink something at the café? Frank : I'm sorry, I feel tired. I'm going to rest all day. Brad : No matter.","You can join me now","I hope you can be there","We'll meet up later, then","Thank you for your invitation",C
2018,English,Communication,4,"Rosa : Hello, Rosa speaking. Kate : Hello, this is Kate. Can I speak to Jill, please? Rosa : Hello, Kate. I'm afraid, she is not in at the moment. She will be at home in the afternoon. Kate : - - - - Have a nice day. Rosa : Thanks. Bye.","I will get her","It is a bad line","She has gone out","I'll call back later",D
2018,English,Communication,5,"Secretary: Hello, Mrs. Peterson's office. Matt : Hello, could I speak to her, please? Secretary:----, please? Matt : It's Matt Brown, her friend.","May I ask who is calling","Could you repeat that","Can you hold on a moment","Would you like to leave a message",A
2018,English,Communication,6,"Fred : Hello, Fred speaking. Sam : Hello, Fred. It's Sam. How are you? Fred : I'm fine, Sam. Thank you. Sam :----? We are going to watch a movie with Jason. Would you like to join us? Fred : Actually, not at all. I will be there.","Are you going to join the party","Is your brother in at the moment","Do you have any plans for tonight","Does your father like watching movies",C
2018,English,Communication,7,"I. Hello, could I speak to Mr. Harry, please? II. OK. I will inform him about your calling. III. I'm afraid he isn't available at the moment. IV. Could you tell him to contact with Mrs. Shine? V. Hello. Mr Harry's office Karışık olarak verilen cümlelerin anlamlı bir diyalog olacak şekilde sıralandığı seçeneği işaretleyiniz.","V-I-III IV - II","V-II-IV III - I","V-III-I- II - IV","V-IV-II-I-III",A
2018,English,Communication,8,"(I) Jeremy wants to buy a laptop. (II) He is going to buy a new laptop for his father as a birthday gift. (III) Jeremy likes playing computer games with friends. (IV) His father is going to be forty next Saturday. Verilen metinde anlam bütünlüğünü bozan cümle se- çeneklerden hangisidir?","I","II","III","IV",C
2018,English,Communication,9,"Choose the incorrect option according to the table above? | | | |:---|:---|:---| | | Alice's weekend plans | | | What | Do sports | | | When | On Saturday | | | What time | At ten a.m. | | | Where | At the gym |","Alice is going to do sports at 10 a.m.","She is going to do sports at the gym.","She is going to do sports on weekend.","Alice is going to do sports on Friday.",D
2018,English,Communication,10,"Hi, girls. I'm having friends over tonight. Would you like to join us? We can sit and chit-chat. Mary I'd like to but I am not feeling well today. I'm sorry. Talk to you soon. Ruth Sure! That's a good idea. Tell me if you need anything. I can bring something to drink. Bye for now. Susan Hi. That would be great. My cousin is staying with us. Shall we come together? She is really a funny girl. Which one is true about the messages above?","Ruth is offering to bring some drinks.","Mary is going to Lisa's place tonight.","Susan invites her friends to her house.","Lisa refuses the invitation because she's ill.",A
2018,English,Communication,11,"Hi, girls. I'm having friends over tonight. Would you like to join us? We can sit and chit-chat. Mary I'd like to but I am not feeling well today. I'm sorry. Talk to you soon. Ruth Sure! That's a good idea. Tell me if you need anything. I can bring something to drink. Bye for now. Susan Hi. That would be great. My cousin is staying with us. Shall we come together? She is really a funny girl. ---- wants to attend to the event with one of her relatives.","Lisa","Mary","Ruth","Susan",D
2018,English,Communication,12,"Hi, girls. I'm having friends over tonight. Would you like to join us? We can sit and chit-chat. Mary I'd like to but I am not feeling well today. I'm sorry. Talk to you soon. Ruth Sure! That's a good idea. Tell me if you need anything. I can bring something to drink. Bye for now. Susan Hi. That would be great. My cousin is staying with us. Shall we come together? She is really a funny girl. Who accepts the invitation according to the text?","Susan and Mary","Susan and Ruth","Lisa and Ruth","Lisa and Mary",B
2018,English,"The Internet",1,"I sometimes - - - - photos on social networks because I like reading my friends' ideas about them.","connect","practice","upload","log on",C
2018,English,"The Internet",2,"A computer - - - - shows pictures or information and it often looks similar to televisions.","printer","monitor","mouse","keyboard",B
2018,English,"The Internet",3,"A - - - - is a software for finding web pages with the information you want.","search engine","service provider","chat room","page",A
2018,English,"The Internet",4,"Isabel :----? Tilly : I usually use my mobile but I sometimes use my computer, too.","What do you usually do on the Net","How often do you check your e-mails","What is the best thing about the Internet","How do you usually connect to the Internet",D
2018,English,"The Internet",5,"Michelle : Do you do online shopping? Kimberly: No. I think, it isn't safe. Michelle :----. I think it's safe if you do shopping on safe sites.","Thank you anyway","I'm sorry, I can't","I don't think so","I'm very busy",C
2018,English,"The Internet",6,"Sam :----? Tim : Sure. Here you are. Sam : Thank you. Tim : You're welcome.","Do you often listen to music","Do you use the Internet at home","Are you good at fixing computers","Can you lend me your speakers",D
2018,English,"The Internet",7,"Samuel : What is the best thing about the Internet? Natalie : To make new friends. Samuel :----? Natalie : Sure. I have two accounts.","Are you a member of any social networks","Do you often read online newspapers","How many hours a day do you use the Internet","What is the problem with your Internet connection",A
2018,English,"The Internet",8,"I. I cannot connect to the Internet. II. Your modem may be offline. III. I have a problem with my computer. IV. What do you mean? Karışık olarak verilen cümlelerin anlamlı bir bütün oluşturacak şekilde sıralandığı seçeneği işaretleyiniz.","II-I-III-IV","III-IV-I-II","I-II-III-IV","IV-III-II-I",B
2018,English,"The Internet",9,"(I) Internet addicts think and talk about the Internet all the time and they cannot organize their lives. (II) The Internet is a term for the worldwide communication network of computers. (III) You can send information quickly between computers around the world. (IV) It's used for many things such as electronic mail, online chat, file transfer, web pages etc. Verilen metinde anlam bütünlüğünü bozan cümleyi işaretleyiniz.","I","II","III","IV",A
2018,English,"The Internet",10,"According to the text, if you spend too much time on the Internet, you - - - -","can never access the Net","can search for information","cannot have many passwords and accounts","cannot have enough time for your real friends",D
2018,English,"The Internet",11,"There is a lot of wrong information on the Net because - - - -","it is easy to have a password","anyone can post anything there","books are important source of information","you can find many materials for your homework",B
2018,English,"The Internet",12,"Which one is false according to the text?","People can get into your computer.","The Internet makes our lives easier.","Internet addicts are social people.","Viruses can harm your computer.",C
2018,English,Adventures,1,"Adventure lovers prefer extreme sports because they are","easy and embarrassing","safe and amusing","boring and disappointing","fast and challenging",D
2018,English,Adventures,2,"Martha :----? Darren : Three times a month.","When do you go cycling","What is your favorite sport","How often do you go rafting","Do you go climbing on weekdays",C
2018,English,Adventures,3,"Joe :----? Emily : Because it's fascinating and amusing.","Why do you like motor racing","Do you want to dive with sharks","How often do you go bungee jumping","Do you think windsurfing is fun",A
2018,English,Adventures,4,"Berth : In my opinion, canoeing is easier and more entertaining than rafting. Camilla : --. Berth : Let's do it next week! Camilla : Of course. I'd love to.","I disagree with you","I think it's a bad idea","You're right","You're joking",C
2018,English,Adventures,5,"John : I think caving is boring. Sam :- -. John : Why? Sam : I tried and really enjoyed it.","I don't think so","Unfortunately","Sure","Cool",A
2018,English,Adventures,6,"Mustafa: Why don't we go and try skydiving at the weekend? Bruce : Well, it is really dangerous. - - - -. It's safer and fun.","Skydiving always attracts me","I prefer swimming to skydiving","My favorite sport is skydiving","To me skydiving is unbearable",B
2018,English,Adventures,7,"Kate : Which sports do you usually do during summer holidays? Ally :----. Kate : So, you are not into extreme sports like parachuting.","I never miss joining in rafting activities in summer","I try different extreme sports like adrenalin junkies","I spend most of my time trying ice climbing","I prefer easy sports like swimming and cycling",D
2018,English,Adventures,8,"I don't think of myself as an adrenalin junkie. Verilen cümleyi söyleyen bir kişinin hangi aktiviteyi yapması beklenemez?","(Image A)","(Image B)","(Image C)","(Image D)",A
2018,English,Adventures,9,"---- rafting is an entertaining sport. This summer, we are planning to go to Alanya to do rafting. Verilen cümle aşağıdaki ifadelerden hangisi ile tamamlanamaz?","In my opinion","I'm afraid","I think","To me",B
2018,English,Adventures,10,"Yasemin didn't like bungee jumping because it was","dangerous","fascinating","entertaining","thrilling",D
2018,English,Adventures,11,"According to the text, Yasemin","likes extreme sports","is not an adventure lover","doesn't have any plans about activities","is interested in rafting",B
2018,English,Adventures,12,"During her holiday, Yasemin didn't do any activities with her ----.","brother","friends","mum","dad",C
2018,English,"The Internet",1,"If you want to listen to music while using your computer, you should buy some - - - -","speakers","monitors","keyboards","printers",A
2018,English,"The Internet",2,"If you want to use safe sites on the Net, you - - - - .","should have a social network account","need to take and share photos on the Net","can get help from your teachers and parents","can give out your personal information to everyone",C
2018,English,"The Internet",3,"Everyone loves the Internet because - - - -","you must be careful with strange e-mails.","it's a great place to keep in touch with friends","you can spend too much time and become an addict","it has some disadvantages, too",B
2018,English,"The Internet",4,"Sharon has many Internet friends but - - - - .","they aren't members of social networking sites","she has accounts in different social networks","she doesn't meet her real friends very often","they can chat and play online games",D
2018,English,"The Internet",5,"Noah : Do you have a social network account? Liam : Yeah. Noah : - - - -? Liam : Photos, songs, funny videos etc.","Do you send e-mails","Do you play online games","What's your favourite website","What do you usually share",D
2018,English,"The Internet",6,"James : How about hanging out tonight? David : - - - - James : See you later, then. David : Take care, bye.","Sounds good. What time shall we meet?","No, not at all. I'm not doing anything tonight.","That would be great. What are you planning?","I'm sorry but my cousin is going to visit me tonight.",D
2018,English,"The Internet",7,"One of your friends invites you to the cinema. You accept the invitation and state that you love watching movies. What do you say?","I'm afraid, I can't. My aunt is going to visit us today.","Great idea! You know I'm really into movies.","No, thanks. I have got lots of homework.","I'm too busy. Another time, maybe.",B
2018,English,"The Internet",8,"(I) A search engine is a type of website that helps someone find information on the Internet. (II) You must enter one or more words into the search engine. (III) Google is the most popular search engine website. (IV) When you finish your search, you see the results on the screen. Verilen metinde anlam bütünlüğünü bozan cümleyi işaretleyiniz.","I","II","III","IV",C
2018,English,"The Internet",9,"I. Sure. What is the problem? II. I think I have a problem with my computer. Can you help me, please? III. Well, I can't open new pages on the Internet. IV. Close all the pages and then try to open a new one. Karışık olarak verilen cümlelerin anlamlı bir bütün oluşturacak şekilde sıralandığı seçeneği işaretleyiniz.","II-I-III-IV","III-IV-II-I","I-III-IV-II","IV-II-I-III",A
2018,English,"The Internet",10,"According to the text, one of the negative effects of social networks is - - - - .","sharing photos","making friends","communication","addiction",D
2018,English,"The Internet",11,"Which one is false according to text?","You can meet people with the same interests through social networking sites.","People mostly use social networking sites to steal other users' information.","There are both positive and negative sides of social networking sites.","Meeting an online friend in person can be very risky and dangerous.",B
2018,English,"The Internet",12,"Which can be the best title for the text?","Making Friends Through Social Networks","Learning English Through the Internet","Social Networks and Their Bad Sides","Technology and Communication",C
2018,English,"The Internet",1,"A is a computer hardware and it helps your computer to connect to the Net.","modem","monitor","mouse","microphone",A
2018,English,"The Internet",2,"Martin : Do you use social networking sites? Harry : Sure. Martin : What do you usually do on these sites? Harry : ----","I always prefer using my desktop","There is a connection sign on the screen","You will have some connection problems","I use them to keep in touch with my friends",D
2018,English,"The Internet",3,"A is a type of website that helps us find information on the Net.","live chat","web browser","search engine","mobile device",C
2018,English,"The Internet",4,"Paul :----? Steven : I usually read newspaper or magazines. I sometimes communicate with friends, too.","How often are you online","What do you usually do online","How often do you play online games","What's the best thing about the Internet",B
2018,English,"The Internet",5,"Kimberly:----? Michelle: Certainly, my sister. She is a couch potato and nearly always online.","How many hours a day do you spend on the Net","What do you do first after you come back home","Who uses the Internet most in your family","Why do you prefer doing online shopping",C
2018,English,"The Internet",6,"Robert: I forgot my and can't log on my account.","attachment","password","comment","wireless",B
2018,English,"The Internet",7,"INTERNET SAFETY RULES: Choose strong passwords. Don't give your personal details to strangers. Use an antivirus program. ----","Download files from any sites that you like","Meet your online friends in person","Open every email attachments","Be careful with what you share",D
2018,English,"The Internet",8,"Imagine that you have an Internet connection problem. You see that some of the lights on your modem are off. You call the customer service. What do you say?","I have a cable modem and I want to replace it with a wireless one.","I can't connect to the Net and some lights are off on my modem.","I don't prefer using a wireless modem because I use a desktop.","I want to buy new modem lights because some of them are off.",B
2018,English,"The Internet",9,"I. Really? Could you send them to me? II. Could you find any information on the Net about the conquest of İstanbul? III. Sure. I will attach them to the email. IV. Yes. I found some photos and maps. Karışık olarak verilen cümlelerin anlamlı bir diyalog oluşturacak şekilde sıralandığı seçeneği işaretleyi- niz.","III-IV-I-II","III-II-IV-I","III-I-II-IV","II-IV-I-III",D
2018,English,"The Internet",10,"According to the text, you should choose the right search engine ----","because keywords help you get more specific results","so Internet is a great place to make new friends","after you search the list and find information","if you want to learn how to search on the Net",D
2018,English,"The Internet",11,"According to the text, if you can't find information through a search engine, you can - .","look it up in books or other materials","use social networks to get help from others","try another one and follow the steps again","press the ""Enter"" key on the keyboard",C
2018,English,"The Internet",12,"What can be the best title for the text?","How to search on the Net?","How to make online friends?","How do search engines work?","How can the Internet be harmful?",A
2018,English,Friendship,1,"Read the opinions of four people about their friends. Alex: Tim doesn't forget to organize parties for my birthdays. Fred: I don't like spending time with Joe. Jill: I don't trust Betty, so I don't share my secrets with her. Sally: Ashley doesn't support me when I need her. According to the information above, who says something positive about his/her friend?","Alex","Fred","Jill","Sally",A
2018,English,"Teen Life",2,"Clara is going to buy some books for her friends. She knows that Robert loves reading about architecture. Lisa reads magazines about water sports. Mary usually buys books on health and Jack is interested in cooking. According to the information above, which of the following books is Clara NOT going to buy?","BEST RAFTING PLACES IN THE WORLD","MODERN BUILDINGS","SECRET HISTORY OF THE TELEPHONE","DISEASES FROM PAST TO THE FUTURE",C
2018,English,Chores,3,"Keep your classroom tidy. SCHOOL RULES: Be quiet while your teacher is talking. Return the books to the library. Which of the following does NOT fill in the blank above?","Don't talk to each other during the lessons","Don't be noisy in the school library","Come to school on time","Help your parents with the chores",D
2018,English,"In The Kitchen",4,"In an English lesson, the teacher asks the students to put the words into two groups. Group 1 is about cooking methods and Group 2 is about kitchen tools. Group 1: Cooking Methods Bake Bowl Fry Group 2: Kitchen Tools Boil Pan Teaspoon According to the information above, which two words should change places to be in the correct group?","Bake - Boil","Bowl - Boil","Fry - Pan","Fry - Teaspoon",B
2018,English,"On The Phone",5,"Below, you see some parts of four different phone conversations. Charles 1: Can I speak to Mr Brown, please? Secretary: Sure, he is waiting for your call. Tony 2: This is Tony calling. Can I speak to Mr Jordan, please? Secretary: Just a minute, please. I'll get him for you. Ted 3: May I speak to Mr Logan, please? Secretary: He is in a meeting now, but he'll call you back after the meeting. Peter 4: Could you put me through to Mr Miller, please? Secretary: Yes, hold on a minute, please. According to the conversations above, who is DEFINITELY NOT available at the moment?","Mr Brown","Mr Jordan","Mr Logan","Mr Miller",C
2018,English,"Personal Life",6,"Prof. Gazi YAŞARGİL He was born in 1925 in Diyarbakır. He has two brothers and two sisters. He has three children: Leyla, Ceylan and Can. After his graduation from Ankara Atatürk High School, he studied medicine in Basel and Zurich. He developed new methods and special tools in medicine. He published lots of articles and he is the writer of many books. There is also a ""Yaşargil"" lab in Oxford. Which of the following headings does NOT match with any of the three texts given above?","Hobbies","Education","Personal Life","Achievements",A
2018,English,"Teen Life",7,"Susan had some messages from her friends. Carol: I have two tickets for the concert at City Park. Why don't we go together? Jason: Hey, Susan! We are going on a picnic on Saturday. Would you like to come with us? Liz: Thanks for the invitation. 8 p.m. is okay for me, too. See you there. Mandy: Jane, Linda and I are having a movie night on Monday. It will be great if you join us. According to the information above, who did NOT invite Susan to an event?","Carol","Jason","Liz","Mandy",C
2018,English,"The Internet",8,"Mike has written a new book about extreme sports. On the Internet, there are many comments about Mike's book. Below, you see four of them. Joe: Thanks to this book, I have learned a lot of interesting things about extreme sports. Kelly: The first part of the book especially includes some very important information. Mary: If you are interested in extreme sports, you should read this book. Nancy: If you really want to learn about extreme sports, go and buy another book. Who does NOT think Mike's book is useful?","Joe","Kelly","Mary","Nancy",D
2018,English,Tourism,9,"Below, you see some information about different tourist destinations. The Romans built the Colosseum in Italy. Thousands of people went there to watch events. Babur Shah built the Taj Mahal in the city of Agra. You can enjoy its beautiful gardens when you visit it. Adrasan is a small town in Antalya, Türkiye. You can go there by car. You can go to Rize to try rafting on the River Fırtına. Which of the following questions has the answer in all four texts above?","Who built it?","What can you do there?","How can you go there?","Where is it?",D
2018,English,Adventures,10,"Below, you see the map of ""Cycling Tour August 2025"". Cycling Tour August 2025 - Start: Wednesday, 9 a.m. August 13 - Finish: Saturday, August 16 - Part 1: 20 km - Part 2: 10 km - Part 3: 15 km - Part 4: 15 km - Camping areas where you have to stay at night during the tour after you complete each part. According to the map above, which of the following is false?","You have to ride your bike for more than 50 km to finish the whole tour.","You spend less than three nights at the camping areas during the tour.","The tour takes less than a week to complete.","The particular starting time of the tour is given on the map.",B
2018,English,"Revision - 1",1,"A set of clothes that we wear together is called - - - -.","an outfit","fashion","trendy","a dress",A
2018,English,"Revision - 1",2,"I'm on a diet. So I don't eat - - - - food. It's too fattening.","burned","boiled","fried","spicy",C
2018,English,"Revision - 1",3,"We first need to - - - - bread to make a sandwich.","melt","slice","mash","mix",B
2018,English,"Revision - 1",4,"You should be careful when you download pictures and games. Because you can - - - -.","get a virus","surf the Net safely","get an anti-virus program","always update it",A
2018,English,"Revision - 1",5,"- - - -. She stays at home all day and relax.","Amanda always goes to the cinema on Sunday afternoon","Ceyda usually meets with friends at the weekend","Sarah always visits her grandparents on Saturday","Selin never goes out on Sundays",D
2018,English,"Revision - 1",6,"Susan : Hello, is George there? Michael : I'm not sure. - - - -, I'll check.","hang up","hold on","pick up","call back",B
2018,English,"Revision - 1",7,"Clara : We're having a barbecue party at my house on Sunday. Tim : Yes. Sounds good.","Why not?","I'm sorry, I can't.","Fancy joining us?","Cool! I'd love to.",D
2018,English,"Revision - 1",8,"Janet : - - - -? Why don't you come along for a coffee? Anne : I'm sorry but I can't. I'm helping mum with the housework.","How do you go to school","What are you doing on Sunday","How often do you do the housework","What do you think of that café over there",B
2018,English,"Revision - 1",9,"Amy : How about coming to my house tonight? Jennifer : - - - -. Shall I bring anything to eat? Amy : No, you don't need to. I'll get some pizzas and crisps.","Sorry, but I can't make it","Another time maybe","I'd love to but I can't","Yeah, sounds good",D
2018,English,"Revision - 1",10,"Karen : - - - -? Timothy: I usually do my homework and read a book.","How often do you go shopping","What do you do in the evenings","What time do you do your homework","Where do you usually have lunch",B
2018,English,"Revision - 1",11,"- - - - sometimes goes shopping.","Jack","Jim","Tina","Lisa",A
2018,English,"Revision - 1",12,"Tina never - - - -.","plays computer games","does the housework","goes shopping","plays basketball",A
2018,English,Adventures,1,"Sam : Are you an adrenalin junkie? Tim : Yes, I'm. ----","I'm crazy about extreme sports","I prefer playing chess","I'm interested in knitting","I like surfing the Net",A
2018,English,Adventures,2,"Jack : I think rafting is challenging and more entertaining than caving. - - - -? Jones : You're right. Rafting on the water is really enjoyable. You feel the freedom.","Who are you talking to","What do you think","How often do you do sport","Where do you go trekking",B
2018,English,Adventures,3,"Brian : Do you love skateboarding? Nancy : Sure. -","I think it's really fun","I'll never try it again","I don't care","I don't think so",A
2018,English,Adventures,4,"Ahmet : I would like to try hang gliding this summer. Where should I go? Robert : I think Antalya ---- You can also find many other sports activities there.","is the best place to try new dishes","has many traditional dishes","has great hotels for holiday","is a suitable city for it",D
2018,English,Adventures,5,"Tim : Why do adrenalin junkies prefer dangerous sports to others? Sue :---- because they enjoy forcing themselves.","In my opinion dangerous sports are really boring","Adrenalin junkies like less challenging sports mostly","I think they want to see how far they can go","I guess those people hate taking risks",C
2018,English,Adventures,6,"Jack : Have you ever tried any extreme sports? Bill : Yeah. I went rafting last year. Jack :----? Bill : It was an amazing experience.","What is the aim of it","What do you think","What do you mean","What was it like",D
2018,English,Adventures,7,"Pete : What do you need to do rafting safely? Dave : What do you mean? Pete : Well.-? Dave : Sure. We should wear a helmet.","Do people prefer rafting to other sports","Do you take any special equipment with you","Do you need much time to do it","Do people think rafting is easier",B
2018,English,Adventures,8,"Sam : I think rafting is easier than kayaking. Anna :----. To me, rafting is more difficult. Because it's faster and more dangerous.","I don't think so","I think I'm right","I agree with you","I'm sorry, I can't",A
2018,English,Adventures,9,"George :----? Sandra : I don't think I can do it. Because it's dangerous and risky. I prefer safer sports.","Are you interested in jogging","When did you first try camel riding","What do you think about skydiving","Can you teach me how to do bungee jumping",C
2018,English,Adventures,10,"Verilen eşleştirmelerden yanlış olanı işaretleyiniz.","Bungee Jumping","Ice climbing","Windsurfing","Rafting",D
2018,English,Adventures,11,"The sport in the text is ----. •Are you an adrenalin junkie? •Do you like challenging and thrilling activities? •Do you want to see the wonderful view of Antalya from the sky? •This activity is definitely for you. You should try it. •Time: Every day from 10.00 to 17.00 •Price: $ 15","rafting","hang-gliding","windsurfing","ice climbing",B
2018,English,Adventures,12,"Adrenalin junkies do this sport because","it is cheaper than other sports","they can do it every day","it is an extreme sport","it is in Antalya",C
